id	gender	name
11801	MALE	Filippo Tommaso Marinetti
11803	MALE	Franz Mesmer
11809	MALE	Francesco Cossiga
11820	MALE	Fridtjof Nansen
11824	MALE	Frederick Augustus II of Saxony
11857	MALE	George Lucas
11891	MALE	George Orwell
11955	MALE	George H. W. Bush
11958	MALE	George Berkeley
11959	MALE	G. E. Moore
11968	MALE	George Washington
12007	MALE	Johann Gottlieb Fichte
12104	MALE	Guglielmo Marconi
12209	MALE	Gene Kelly
12216	MALE	Georg Cantor
12230	MALE	Gary Coleman
12231	MALE	Garth Brooks
12232	MALE	Gustave Eiffel
12248	MALE	Gheorghe Zamfir
12250	MALE	Georg Henrik von Wright
12272	MALE	George Pappas
12274	MALE	Guy de Maupassant
12276	MALE	Gheorghe Hagi
12277	MALE	Gordon Banks
12281	MALE	Gottfried Wilhelm Leibniz
12300	MALE	George R. R. Martin
12305	MALE	Gotthold Ephraim Lessing
12307	MALE	Gustave Flaubert
12308	MALE	Gregory Chaitin
12309	MALE	Goran BregoviÄ‡
12317	MALE	Georges Braque
12318	MALE	Gilbert Cesbron
12326	MALE	Galen
12332	MALE	Gustav Kirchhoff
12333	MALE	G. K. Chesterton
12367	MALE	Garry Trudeau
12406	MALE	Gioachino Rossini
12425	MALE	Gustav Klimt
12426	MALE	Groucho Marx
12472	MALE	Gregor Aichinger
12475	MALE	Georgius Agricola
12478	MALE	Germanicus
12479	MALE	Giulio Alberoni
12480	MALE	Gil Ãlvarez Carrillo de Albornoz
12481	MALE	Giovanni Aldini
12482	MALE	Girolamo Aleandro
12483	MALE	Galeazzo Alessi
12484	MALE	Giulio Alenio
12495	MALE	Grover Cleveland
12499	MALE	Gregorio Allegri
12501	MALE	Geoff Hurst
12504	MALE	Giovanni d'Andrea
12509	FEMALE	Gloria Gaynor
12511	MALE	Gerald Schroeder
12523	MALE	Gerard Manley Hopkins
12531	MALE	George Peppard
12556	MALE	Garnet Bailey
12557	MALE	Gilles Deleuze
12561	MALE	Gene Hackman
12562	MALE	Gregor Mendel
12578	MALE	George Stephenson
12583	MALE	Gary Lineker
12590	FEMALE	Grace Hopper
12598	MALE	Georg Wilhelm Friedrich Hegel
12601	MALE	Governor-General of Australia
12635	MALE	Gian Lorenzo Bernini
12645	MALE	Gary North (economist)
12648	MALE	Gerrit Rietveld
12651	MALE	Gregory the Illuminator
12677	MALE	Gallienus
12707	MALE	Guy Fawkes
12710	MALE	Gary Snyder
12719	MALE	Gustave de Molinari
12731	MALE	George Harrison
12740	MALE	Gary Kildall
12743	MALE	Garrison Keillor
12747	FEMALE	Gia Carangi
12750	MALE	Giacomo Puccini
12754	MALE	George Cukor
12775	MALE	George Frideric Handel
12776	MALE	Giovanni Pierluigi da Palestrina
12787	MALE	Geoffrey Chaucer
12789	MALE	Gerald Gardner (Wiccan)
12792	MALE	Gavin MacLeod
